name;nodes;edges;edge_percentage;algorithm;k;independent_k;result;solution;elapsed_time;operations_count;solutions_count
graph_7_0.25.gml;7;5;0.25;brute_force;0.5;3;True;(11, 68):(99, 95):(100, 6);0.0;4;-1
graph_7_0.25.gml;7;5;0.25;brute_force;0.75;5;False;-1;0.0;144;21
graph_7_0.75.gml;7;15;0.75;brute_force;0.125;0;True;-1;0.0;-1;-1
graph_7_0.75.gml;7;15;0.75;brute_force;0.25;1;True;(11, 68);0.0;1;-1
graph_7_0.75.gml;7;15;0.75;brute_force;0.5;3;True;(11, 68):(99, 95):(100, 6);0.0;4;-1
graph_7_0.75.gml;7;15;0.75;brute_force;0.75;5;False;-1;0.0;70;21
graph_7_0.125.gml;7;2;0.125;brute_force;0.125;0;True;-1;0.0;-1;-1
graph_7_0.125.gml;7;2;0.125;brute_force;0.25;1;True;(11, 68);0.0;1;-1
graph_7_0.125.gml;7;2;0.125;brute_force;0.5;3;True;(11, 68):(99, 95):(100, 6);0.0;4;-1
graph_7_0.125.gml;7;2;0.125;brute_force;0.75;5;True;(11, 68):(100, 6):(51, 100):(99, 95):(30, 2);0.0;22;1
graph_8_0.5.gml;8;14;0.5;brute_force;0.125;1;True;(11, 68);0.0;1;-1
graph_8_0.5.gml;8;14;0.5;brute_force;0.25;2;True;(11, 68):(99, 95);0.0;4;1
graph_8_0.5.gml;8;14;0.5;brute_force;0.5;4;True;(11, 68):(99, 95):(51, 100):(1, 29);0.0;58;22
graph_8_0.5.gml;8;14;0.5;brute_force;0.75;6;False;-1;0.0;61;28
graph_8_0.25.gml;8;7;0.25;brute_force;0.125;1;True;(11, 68);0.0;1;-1
graph_8_0.25.gml;8;7;0.25;brute_force;0.25;2;True;(11, 68):(100, 6);0.0;2;-1
graph_8_0.25.gml;8;7;0.25;brute_force;0.5;4;True;(11, 68):(99, 95):(51, 100):(100, 6);0.0;17;2
graph_8_0.25.gml;8;7;0.25;brute_force;0.75;6;False;-1;0.000995635986328125;127;28
graph_8_0.75.gml;8;21;0.75;brute_force;0.125;1;True;(11, 68);0.0;1;-1
graph_8_0.75.gml;8;21;0.75;brute_force;0.25;2;True;(11, 68):(99, 95);0.0;4;1
graph_8_0.75.gml;8;21;0.75;brute_force;0.5;4;False;-1;0.0;154;70
graph_8_0.75.gml;8;21;0.75;brute_force;0.75;6;False;-1;0.0;61;28
graph_8_0.125.gml;8;3;0.125;brute_force;0.125;1;True;(11, 68);0.0;1;-1
graph_8_0.125.gml;8;3;0.125;brute_force;0.25;2;True;(11, 68):(100, 6);0.0;2;-1
graph_8_0.125.gml;8;3;0.125;brute_force;0.5;4;True;(11, 68):(99, 95):(100, 6):(30, 2);0.0;7;-1
graph_8_0.125.gml;8;3;0.125;brute_force;0.75;6;True;(11, 68):(99, 58):(63, 50):(51, 100):(99, 95):(30, 2);0.0;166;16
graph_9_0.5.gml;9;18;0.5;brute_force;0.125;1;True;(11, 68);0.0013980865478515625;1;-1
graph_9_0.5.gml;9;18;0.5;brute_force;0.25;2;True;(11, 68):(99, 95);0.0;4;1
graph_9_0.5.gml;9;18;0.5;brute_force;0.5;4;True;(63, 50):(64, 8):(99, 58):(100, 6);0.0;294;86
