name;nodes;edges;edge_percentage;algorithm;k;independent_k;result;solution;elapsed_time
graph_13_0.25.gml;13;19;0.25;clever;0.5;6;True;(11, 68):(63, 50):(51, 100):(33, 37):(30, 2):(64, 8);0.0
graph_13_0.25.gml;13;19;0.25;clever;0.75;9;False;-1;0.0
graph_13_0.5.gml;13;39;0.5;clever;0.125;1;True;(11, 68);0.0009784698486328125
graph_13_0.5.gml;13;39;0.5;clever;0.25;3;True;(99, 95):(30, 2):(11, 68);0.0020041465759277344
graph_13_0.5.gml;13;39;0.5;clever;0.5;6;False;-1;0.0009949207305908203
graph_13_0.5.gml;13;39;0.5;clever;0.75;9;False;-1;0.0009984970092773438
graph_13_0.75.gml;13;58;0.75;clever;0.125;1;True;(11, 68);0.0010025501251220703
graph_13_0.75.gml;13;58;0.75;clever;0.25;3;True;(99, 95):(30, 2):(33, 37);0.0009992122650146484
graph_13_0.75.gml;13;58;0.75;clever;0.5;6;False;-1;0.0009980201721191406
graph_13_0.75.gml;13;58;0.75;clever;0.75;9;False;-1;0.0009999275207519531
graph_14_0.125.gml;14;11;0.125;clever;0.125;1;True;(100, 6);0.0
graph_14_0.125.gml;14;11;0.125;clever;0.25;3;True;(11, 68):(99, 95):(100, 6);0.0
graph_14_0.125.gml;14;11;0.125;clever;0.5;7;True;(63, 50):(11, 68):(72, 79):(99, 95):(1, 29):(100, 6):(30, 2);0.0
graph_14_0.125.gml;14;11;0.125;clever;0.75;10;False;-1;0.0
graph_14_0.25.gml;14;22;0.25;clever;0.125;1;True;(11, 68);0.0009999275207519531
graph_14_0.25.gml;14;22;0.25;clever;0.25;3;True;(11, 68):(99, 95):(100, 6);0.0009996891021728516
graph_14_0.25.gml;14;22;0.25;clever;0.5;7;True;(99, 95):(100, 6):(51, 100):(11, 68):(41, 72):(30, 2):(64, 8);0.0009999275207519531
graph_14_0.25.gml;14;22;0.25;clever;0.75;10;False;-1;0.001001596450805664
graph_14_0.5.gml;14;45;0.5;clever;0.125;1;True;(11, 68);0.0009980201721191406
graph_14_0.5.gml;14;45;0.5;clever;0.25;3;True;(11, 68):(41, 72):(64, 8);0.001997709274291992
graph_14_0.5.gml;14;45;0.5;clever;0.5;7;False;-1;0.0009999275207519531
graph_14_0.5.gml;14;45;0.5;clever;0.75;10;False;-1;0.0010006427764892578
graph_14_0.75.gml;14;68;0.75;clever;0.125;1;True;(11, 68);0.0020003318786621094
graph_14_0.75.gml;14;68;0.75;clever;0.25;3;True;(11, 68):(30, 2):(41, 72);0.0019979476928710938
graph_14_0.75.gml;14;68;0.75;clever;0.5;7;False;-1;0.0020003318786621094
graph_14_0.75.gml;14;68;0.75;clever;0.75;10;False;-1;0.0009999275207519531
graph_15_0.125.gml;15;13;0.125;clever;0.125;1;True;(11, 68);0.0009648799896240234
graph_15_0.125.gml;15;13;0.125;clever;0.25;3;True;(99, 95):(30, 2):(11, 68);0.0
graph_15_0.125.gml;15;13;0.125;clever;0.5;7;True;(99, 95):(11, 68):(51, 100):(72, 79):(41, 72):(1, 29):(30, 2);0.0
graph_15_0.125.gml;15;13;0.125;clever;0.75;11;False;-1;0.0
graph_15_0.25.gml;15;26;0.25;clever;0.125;1;True;(30, 2);0.0009946823120117188
graph_15_0.25.gml;15;26;0.25;clever;0.25;3;True;(11, 68):(99, 95):(30, 2);0.0010037422180175781
graph_15_0.25.gml;15;26;0.25;clever;0.5;7;True;(11, 68):(51, 100):(72, 79):(1, 100):(3, 1):(99, 95):(30, 2);0.0010077953338623047
graph_15_0.25.gml;15;26;0.25;clever;0.75;11;False;-1;0.0
graph_15_0.5.gml;15;52;0.5;clever;0.125;1;True;(11, 68);0.0010395050048828125
graph_15_0.5.gml;15;52;0.5;clever;0.25;3;True;(3, 1):(41, 72):(11, 68);0.0030002593994140625
graph_15_0.5.gml;15;52;0.5;clever;0.5;7;False;-1;0.0019996166229248047
graph_15_0.5.gml;15;52;0.5;clever;0.75;11;False;-1;0.0010004043579101562
graph_15_0.75.gml;15;78;0.75;clever;0.125;1;True;(11, 68);0.0020003318786621094
graph_15_0.75.gml;15;78;0.75;clever;0.25;3;True;(11, 68):(84, 31):(100, 6);0.0019974708557128906
graph_15_0.75.gml;15;78;0.75;clever;0.5;7;False;-1;0.0010001659393310547
graph_15_0.75.gml;15;78;0.75;clever;0.75;11;False;-1;0.0015413761138916016
graph_16_0.125.gml;16;15;0.125;clever;0.125;2;True;(99, 95):(30, 2);0.0
graph_16_0.125.gml;16;15;0.125;clever;0.25;4;True;(11, 68):(30, 2):(99, 95):(100, 6);0.0
graph_16_0.125.gml;16;15;0.125;clever;0.5;8;True;(11, 68):(99, 95):(72, 79):(3, 1):(1, 29):(84, 31):(100, 6):(30, 2);0.0
graph_16_0.125.gml;16;15;0.125;clever;0.75;12;False;-1;0.000995635986328125
graph_16_0.25.gml;16;30;0.25;clever;0.125;2;True;(11, 68):(84, 31);0.0010101795196533203
graph_16_0.25.gml;16;30;0.25;clever;0.25;4;True;(63, 50):(30, 2):(84, 31):(11, 68);0.0019943714141845703
graph_16_0.25.gml;16;30;0.25;clever;0.5;8;False;-1;0.0019998550415039062
graph_16_0.25.gml;16;30;0.25;clever;0.75;12;False;-1;0.001001596450805664
graph_16_0.5.gml;16;60;0.5;clever;0.125;2;True;(11, 68):(100, 6);0.00299835205078125
graph_16_0.5.gml;16;60;0.5;clever;0.25;4;True;(1, 29):(84, 31):(100, 6):(72, 79);0.004002809524536133
graph_16_0.5.gml;16;60;0.5;clever;0.5;8;False;-1;0.0019974708557128906
graph_16_0.5.gml;16;60;0.5;clever;0.75;12;False;-1;0.0010175704956054688
graph_16_0.75.gml;16;90;0.75;clever;0.125;2;True;(11, 68):(99, 95);0.003002166748046875
graph_16_0.75.gml;16;90;0.75;clever;0.25;4;False;-1;0.0019979476928710938
graph_16_0.75.gml;16;90;0.75;clever;0.5;8;False;-1;0.0009996891021728516
graph_16_0.75.gml;16;90;0.75;clever;0.75;12;False;-1;0.0010004043579101562
