name;nodes;edges;edge_percentage;algorithm;k;independent_k;result;solution;elapsed_time
graph_7_0.125.gml;7;2;0.125;greedy_v2;0.125;0;True;-1;0.0
graph_7_0.125.gml;7;2;0.125;greedy_v2;0.25;1;True;(11, 68);0.0
graph_7_0.125.gml;7;2;0.125;greedy_v2;0.5;3;True;(11, 68):(99, 95):(51, 100);0.0009963512420654297
graph_7_0.125.gml;7;2;0.125;greedy_v2;0.75;5;False;-1;0.0
graph_8_0.5.gml;8;14;0.5;greedy_v2;0.125;1;True;(51, 100);0.0
graph_8_0.5.gml;8;14;0.5;greedy_v2;0.25;2;True;(1, 29):(51, 100);0.0009999275207519531
graph_8_0.5.gml;8;14;0.5;greedy_v2;0.5;4;False;-1;0.0
graph_8_0.5.gml;8;14;0.5;greedy_v2;0.75;6;False;-1;0.0
graph_8_0.25.gml;8;7;0.25;greedy_v2;0.125;1;True;(51, 100);0.0
graph_8_0.25.gml;8;7;0.25;greedy_v2;0.25;2;True;(1, 29):(51, 100);0.0
graph_8_0.25.gml;8;7;0.25;greedy_v2;0.5;4;True;(11, 68):(1, 29):(51, 100):(100, 6);0.0
graph_8_0.25.gml;8;7;0.25;greedy_v2;0.75;6;False;-1;0.0
graph_8_0.75.gml;8;21;0.75;greedy_v2;0.125;1;True;(99, 95);0.0
graph_8_0.75.gml;8;21;0.75;greedy_v2;0.25;2;True;(99, 95):(1, 29);0.0010340213775634766
graph_8_0.75.gml;8;21;0.75;greedy_v2;0.5;4;False;-1;0.0
graph_8_0.75.gml;8;21;0.75;greedy_v2;0.75;6;False;-1;0.0
graph_8_0.125.gml;8;3;0.125;greedy_v2;0.125;1;True;(11, 68);0.0
graph_8_0.125.gml;8;3;0.125;greedy_v2;0.25;2;True;(11, 68):(99, 95);0.0
graph_8_0.125.gml;8;3;0.125;greedy_v2;0.5;4;True;(11, 68):(99, 95):(51, 100):(63, 50);0.0
graph_8_0.125.gml;8;3;0.125;greedy_v2;0.75;6;False;-1;0.0
graph_9_0.5.gml;9;18;0.5;greedy_v2;0.125;1;True;(100, 6);0.0
graph_9_0.5.gml;9;18;0.5;greedy_v2;0.25;2;True;(64, 8):(100, 6);0.0
graph_9_0.5.gml;9;18;0.5;greedy_v2;0.5;4;False;-1;0.0
graph_9_0.5.gml;9;18;0.5;greedy_v2;0.75;6;False;-1;0.0
graph_9_0.25.gml;9;9;0.25;greedy_v2;0.125;1;True;(99, 95);0.0010006427764892578
graph_9_0.25.gml;9;9;0.25;greedy_v2;0.25;2;True;(99, 95):(100, 6);0.0
graph_9_0.25.gml;9;9;0.25;greedy_v2;0.5;4;True;(99, 95):(99, 58):(100, 6):(30, 2);0.0
graph_9_0.25.gml;9;9;0.25;greedy_v2;0.75;6;False;-1;0.0
graph_9_0.75.gml;9;27;0.75;greedy_v2;0.125;1;True;(100, 6);0.0
graph_9_0.75.gml;9;27;0.75;greedy_v2;0.25;2;True;(99, 58):(100, 6);0.0
graph_9_0.75.gml;9;27;0.75;greedy_v2;0.5;4;False;-1;0.0
graph_9_0.75.gml;9;27;0.75;greedy_v2;0.75;6;False;-1;0.0
graph_9_0.125.gml;9;4;0.125;greedy_v2;0.125;1;True;(99, 95);0.0
graph_9_0.125.gml;9;4;0.125;greedy_v2;0.25;2;True;(99, 95):(99, 58);0.0
graph_9_0.125.gml;9;4;0.125;greedy_v2;0.5;4;True;(99, 95):(1, 29):(99, 58):(100, 6);0.0
graph_9_0.125.gml;9;4;0.125;greedy_v2;0.75;6;False;-1;0.0
graph_10_0.5.gml;10;22;0.5;greedy_v2;0.125;1;True;(64, 8);0.0
graph_10_0.5.gml;10;22;0.5;greedy_v2;0.25;2;True;(99, 95):(64, 8);0.0
graph_10_0.5.gml;10;22;0.5;greedy_v2;0.5;5;False;-1;0.0
graph_10_0.5.gml;10;22;0.5;greedy_v2;0.75;7;False;-1;0.0
graph_10_0.25.gml;10;11;0.25;greedy_v2;0.125;1;True;(63, 50);0.0
graph_10_0.25.gml;10;11;0.25;greedy_v2;0.25;2;True;(63, 50):(64, 8);0.0
graph_10_0.25.gml;10;11;0.25;greedy_v2;0.5;5;False;-1;0.0
graph_10_0.25.gml;10;11;0.25;greedy_v2;0.75;7;False;-1;0.000997304916381836
graph_10_0.75.gml;10;33;0.75;greedy_v2;0.125;1;True;(64, 8);0.0
graph_10_0.75.gml;10;33;0.75;greedy_v2;0.25;2;False;-1;0.0
graph_10_0.75.gml;10;33;0.75;greedy_v2;0.5;5;False;-1;0.0
graph_10_0.75.gml;10;33;0.75;greedy_v2;0.75;7;False;-1;0.0
graph_10_0.125.gml;10;5;0.125;greedy_v2;0.125;1;True;(100, 6);0.0
graph_10_0.125.gml;10;5;0.125;greedy_v2;0.25;2;True;(99, 95):(100, 6);0.0
graph_10_0.125.gml;10;5;0.125;greedy_v2;0.5;5;True;(99, 58):(1, 29):(100, 6):(63, 50):(99, 95);0.0
graph_10_0.125.gml;10;5;0.125;greedy_v2;0.75;7;False;-1;0.0
graph_11_0.5.gml;11;27;0.5;greedy_v2;0.125;1;True;(63, 50);0.0
graph_11_0.5.gml;11;27;0.5;greedy_v2;0.25;2;True;(63, 50):(33, 37);0.0010066032409667969
graph_11_0.5.gml;11;27;0.5;greedy_v2;0.5;5;False;-1;0.0009996891021728516
graph_11_0.5.gml;11;27;0.5;greedy_v2;0.75;8;False;-1;0.0009996891021728516
graph_11_0.25.gml;11;13;0.25;greedy_v2;0.125;1;True;(30, 2);0.0
graph_11_0.25.gml;11;13;0.25;greedy_v2;0.25;2;True;(30, 2):(1, 29);0.0
graph_11_0.25.gml;11;13;0.25;greedy_v2;0.5;5;True;(11, 68):(1, 29):(1, 100):(99, 95):(30, 2);0.0009996891021728516
graph_11_0.25.gml;11;13;0.25;greedy_v2;0.75;8;False;-1;0.0009996891021728516
graph_11_0.75.gml;11;41;0.75;greedy_v2;0.125;1;True;(63, 50);0.0010018348693847656
graph_11_0.75.gml;11;41;0.75;greedy_v2;0.25;2;True;(63, 50):(100, 6);0.0009989738464355469
graph_11_0.75.gml;11;41;0.75;greedy_v2;0.5;5;False;-1;0.0010001659393310547
graph_11_0.75.gml;11;41;0.75;greedy_v2;0.75;8;False;-1;0.0
graph_11_0.125.gml;11;6;0.125;greedy_v2;0.125;1;True;(30, 2);0.0
graph_11_0.125.gml;11;6;0.125;greedy_v2;0.25;2;True;(63, 50):(30, 2);0.0
