name;nodes;edges;edge_percentage;algorithm;k;independent_k;result;solution;elapsed_time;operations_count;solutions_count
graph_129_0.75.gml;129;6192;0.75;greedy_v1;0.125;16;False;-1;0.011999130249023438;11954;5
graph_129_0.75.gml;129;6192;0.75;greedy_v1;0.25;32;False;-1;0.013000249862670898;11954;5
graph_129_0.75.gml;129;6192;0.75;greedy_v1;0.5;64;False;-1;0.012999773025512695;11954;5
graph_129_0.75.gml;129;6192;0.75;greedy_v1;0.75;96;False;-1;0.014000177383422852;11954;5
graph_129_0.125.gml;129;1032;0.125;greedy_v1;0.125;16;True;(37, 55):(80, 46):(50, 91):(61, 100):(10, 78):(47, 81):(15, 87):(27, 58):(71, 12):(33, 37):(1, 100):(80, 38):(1, 29):(48, 3):(1, 83):(100, 24);0.004000186920166016;6842;17
graph_129_0.125.gml;129;1032;0.125;greedy_v1;0.25;32;False;-1;0.0030002593994140625;7258;27
graph_129_0.125.gml;129;1032;0.125;greedy_v1;0.5;64;False;-1;0.003999948501586914;7258;27
graph_129_0.125.gml;129;1032;0.125;greedy_v1;0.75;96;False;-1;0.003999471664428711;7258;27
graph_130_0.5.gml;130;4192;0.5;greedy_v1;0.125;16;False;-1;0.008999347686767578;10138;10
graph_130_0.5.gml;130;4192;0.5;greedy_v1;0.25;32;False;-1;0.008998870849609375;10138;10
graph_130_0.5.gml;130;4192;0.5;greedy_v1;0.5;65;False;-1;0.00800013542175293;10138;10
graph_130_0.5.gml;130;4192;0.5;greedy_v1;0.75;97;False;-1;0.009003639221191406;10138;10
graph_130_0.25.gml;130;2096;0.25;greedy_v1;0.125;16;True;(92, 87):(50, 91):(10, 11):(41, 72):(72, 79):(39, 9):(47, 81):(72, 1):(100, 6):(60, 68):(15, 87):(1, 100):(13, 57):(27, 28):(1, 83):(100, 24);0.006000518798828125;8446;17
graph_130_0.25.gml;130;2096;0.25;greedy_v1;0.25;32;False;-1;0.004999399185180664;8449;18
graph_130_0.25.gml;130;2096;0.25;greedy_v1;0.5;65;False;-1;0.004998683929443359;8449;18
graph_130_0.25.gml;130;2096;0.25;greedy_v1;0.75;97;False;-1;0.004000663757324219;8449;18
graph_130_0.75.gml;130;6288;0.75;greedy_v1;0.125;16;False;-1;0.012000322341918945;12183;5
graph_130_0.75.gml;130;6288;0.75;greedy_v1;0.25;32;False;-1;0.01199650764465332;12183;5
graph_130_0.75.gml;130;6288;0.75;greedy_v1;0.5;65;False;-1;0.012999534606933594;12183;5
graph_130_0.75.gml;130;6288;0.75;greedy_v1;0.75;97;False;-1;0.013001441955566406;12183;5
graph_130_0.125.gml;130;1048;0.125;greedy_v1;0.125;16;True;(37, 55):(50, 91):(10, 11):(41, 72):(13, 46):(73, 52):(47, 81):(100, 6):(15, 87):(71, 12):(1, 100):(80, 38):(27, 93):(100, 82):(1, 83):(100, 24);0.0029990673065185547;6830;17
graph_130_0.125.gml;130;1048;0.125;greedy_v1;0.25;32;False;-1;0.00400090217590332;7312;29
graph_130_0.125.gml;130;1048;0.125;greedy_v1;0.5;65;False;-1;0.00299835205078125;7312;29
graph_130_0.125.gml;130;1048;0.125;greedy_v1;0.75;97;False;-1;0.0029985904693603516;7312;29
graph_131_0.5.gml;131;4257;0.5;greedy_v1;0.125;16;False;-1;0.010000228881835938;10358;9
graph_131_0.5.gml;131;4257;0.5;greedy_v1;0.25;32;False;-1;0.007997274398803711;10358;9
graph_131_0.5.gml;131;4257;0.5;greedy_v1;0.5;65;False;-1;0.008036613464355469;10358;9
graph_131_0.5.gml;131;4257;0.5;greedy_v1;0.75;98;False;-1;0.009034872055053711;10358;9
graph_131_0.25.gml;131;2128;0.25;greedy_v1;0.125;16;False;-1;0.005003213882446289;8734;16
graph_131_0.25.gml;131;2128;0.25;greedy_v1;0.25;32;False;-1;0.004028797149658203;8734;16
graph_131_0.25.gml;131;2128;0.25;greedy_v1;0.5;65;False;-1;0.0040018558502197266;8734;16
graph_131_0.25.gml;131;2128;0.25;greedy_v1;0.75;98;False;-1;0.005000114440917969;8734;16
graph_131_0.75.gml;131;6386;0.75;greedy_v1;0.125;16;False;-1;0.013001203536987305;12357;5
graph_131_0.75.gml;131;6386;0.75;greedy_v1;0.25;32;False;-1;0.011997222900390625;12357;5
graph_131_0.75.gml;131;6386;0.75;greedy_v1;0.5;65;False;-1;0.010998964309692383;12357;5
graph_131_0.75.gml;131;6386;0.75;greedy_v1;0.75;98;False;-1;0.013037443161010742;12357;5
graph_131_0.125.gml;131;1064;0.125;greedy_v1;0.125;16;True;(57, 1):(16, 100):(64, 91):(3, 1):(61, 100):(57, 10):(81, 74):(60, 68):(39, 62):(35, 48):(61, 57):(58, 19):(27, 93):(25, 46):(33, 88):(32, 18);0.002996206283569336;7181;17
graph_131_0.125.gml;131;1064;0.125;greedy_v1;0.25;32;False;-1;0.002999544143676758;7552;27
graph_131_0.125.gml;131;1064;0.125;greedy_v1;0.5;65;False;-1;0.00400090217590332;7552;27
graph_131_0.125.gml;131;1064;0.125;greedy_v1;0.75;98;False;-1;0.003033161163330078;7552;27
graph_132_0.5.gml;132;4323;0.5;greedy_v1;0.125;16;False;-1;0.00896310806274414;10581;8
graph_132_0.5.gml;132;4323;0.5;greedy_v1;0.25;33;False;-1;0.007999658584594727;10581;8
graph_132_0.5.gml;132;4323;0.5;greedy_v1;0.5;66;False;-1;0.008999824523925781;10581;8
graph_132_0.5.gml;132;4323;0.5;greedy_v1;0.75;99;False;-1;0.00800013542175293;10581;8
graph_132_0.25.gml;132;2161;0.25;greedy_v1;0.125;16;True;(51, 73):(10, 11):(100, 49):(47, 81):(18, 19):(16, 6):(80, 16):(54, 47):(57, 93):(64, 29):(1, 58):(13, 57):(27, 93):(44, 53):(39, 9):(1, 83);0.005999565124511719;8774;17
graph_132_0.25.gml;132;2161;0.25;greedy_v1;0.25;33;False;-1;0.004999637603759766;8776;17
graph_132_0.25.gml;132;2161;0.25;greedy_v1;0.5;66;False;-1;0.004999637603759766;8776;17
graph_132_0.25.gml;132;2161;0.25;greedy_v1;0.75;99;False;-1;0.005000114440917969;8776;17
graph_132_0.75.gml;132;6484;0.75;greedy_v1;0.125;16;False;-1;0.013999700546264648;12662;5
graph_132_0.75.gml;132;6484;0.75;greedy_v1;0.25;33;False;-1;0.012999534606933594;12662;5
graph_132_0.75.gml;132;6484;0.75;greedy_v1;0.5;66;False;-1;0.010998964309692383;12662;5
graph_132_0.75.gml;132;6484;0.75;greedy_v1;0.75;99;False;-1;0.011999845504760742;12662;5
graph_132_0.125.gml;132;1080;0.125;greedy_v1;0.125;16;True;(10, 37):(100, 14):(47, 65):(10, 78):(81, 74):(16, 6):(63, 50):(54, 47):(57, 93):(51, 100):(20, 54):(80, 38):(80, 83):(13, 57):(88, 40):(27, 28);0.003000020980834961;7132;17
graph_132_0.125.gml;132;1080;0.125;greedy_v1;0.25;33;False;-1;0.0030014514923095703;7569;30
